id,first_name,last_name,number,team_id,position,class,from,country,height_in,games,poss,pts,ast,reb,oreb,stl,blk,to,fouls,fgm,fga,threem,threea,ftm,fta,sj_poss,sj_fgm,sj_pts,sj_ppp,sj_pct,mj_poss,mj_fgm,mj_pts,mj_ppp,mj_pct,three_poss,three_fgm,three_pts,three_ppp,three_pct,cs_poss,cs_fgm,cs_pts,cs_ppp,cs_pct,cs_efg,cs_three_fgm,cs_three_fga,cs_three_pct,cs_three_per_fga,rim_poss,rim_fgm,rim_pts,rim_ppp,rim_pct,rim_ft_pct,hook_poss,hooks_fgm,hook_pts,hooks_ppp,hooks_fg_pct,hooks_ft_pct,run_poss,run_fgm,run_pts,run_ppp,run_fg_pct,run_ft_pct,dunk_poss,dunk_fgm,dunk_pts,dunk_ppp,dunk_fg_pct,dunk_ft_pct,iso_poss,iso_pts,iso_ppp,iso_fgm,iso_fga,iso_fg_pct,iso_efg,iso_to,iso_ft,iso_score,prb_poss,prb_pts,prb_ppp,prb_fgm,prb_fga,prb_fg,prb_efg,prb_to,prb_ft,prb_score,post_poss,post_pts,post_ppp,post_fgm,post_fga,post_fg,post_to,post_ft,post_score,roll_poss,roll_pts,roll_ppp,roll_fgm,roll_fga,roll_fg,roll_efg,roll_to,roll_ft,roll_score,ho_poss,ho_pts,ho_ppp,ho_fgm,ho_fga,ho_fg,ho_efg,ho_to,ho_ft,ho_score,su_poss,su_pts,su_ppp,su_fgm,su_fga,su_fg,su_efg,su_score,os_poss,os_pts,os_ppp,os_fgm,os_fga,os_fg,os_efg,os_to,os_ft,os_score,trans_poss,trans_pts,trans_ppp,trans_fgm,trans_fga,trans_fg,trans_efg,trans_to,trans_ft,trans_score,cut_poss,cut_pts,cut_ppp,cut_fgm,cut_fga,cut_fg,cut_efg,cut_to,cut_ft,cut_score,pb_poss,pb_pts,pb_ppp,pb_fgm,pb_fga,pb_fg,pb_to,pb_ft,pb_score,pd_poss,pd_pts,pd_ppp,pd_fgm,pd_fga,pd_fg_pct,pd_efg_pct,pd_score_pct,pd_threefgm,pd_threefga,pd_threepct,pd_three_per_fg,intd_poss,intd_pts,intd_ppp,intd_fgm,intd_fga,intd_fg,intd_score_pct,school,team_name,coach_name,wins,losses,nescac_wins,nescac_losses,games,poss,fgm,fga,three_fgm,three_fga,ftm,fta,fg_pct,three_fg_pct,ft_pct,efg,to_pct,three_per_fga,school,team_name,coach_name,wins,losses,nescac_wins,nescac_losses,games,team_poss,team_pts,team_ast,team_reb,team_oreb,team_stl,team_blk,team_tov,team_fouls,team_fgm,team_fga,team_threem,team_threea,team_ftm,team_fta
1,Yaseen,Zarroug,1,AMH,Guard,Senior,Abu Dhabi,United Arab Emirates,76,9,22,10,3,12,5,5,1,6,7,4,15,1,5,1,2,1,0,0,0.000,0.000,2,1,2,1.000,0.500,5,1,3,0.600,0.200,5,1,3,0.600,0.200,0.300,1,5,0.200,1.00,7,2,4,0.571,0.286,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,2,2,1.000,1,1,1.000,1.000,0.500,0.000,0.500,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,1,0,0.000,0,0,0.000,0.000,1.000,0.000,0.000,8,5,0.625,2,7,0.286,0.357,0.250,1,0,0.000,0,1,0.000,0.000,0.000,0.000,0.000,5,3,0.600,1,3,0.333,0.333,0.200,0.200,0.400,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,2,0,0.000,0,2,0.000,0.000,0.000,0.000,12,6,0.500,2,10,0.200,0.250,0.167,1,4,0.250,0.40,7,6,0.857,3,5,0.600,0.429,Amherst College,Mammoths,Marlon Sears,10,14,4,6,24,1848,523,1349,158,519,210,335,0.388,0.304,0.627,0.446,0.186,0.38,Amherst College,Mammoths,Marlon Sears,10,14,4,6,281,1848,1414,271,872,216,113,98,343,377,523,1349,158,519,210,335
2,Canin,Reynolds,2,AMH,Guard,Sophomore,Bowie (MD),United States of America,69,23,253,183,77,71,5,32,0,37,42,62,201,32,112,27,35,11,1,2,0.182,0.091,18,6,12,0.667,0.333,112,32,96,0.857,0.286,70,22,64,0.914,0.314,0.457,20,67,0.299,0.96,46,20,40,0.870,0.435,0.000,0,0,0,0.000,0.000,0.000,14,3,7,0.500,0.214,0.071,0,0,0,0.000,0.000,0.000,11,3,0.273,1,9,0.111,0.111,0.091,0.091,0.182,62,31,0.500,12,49,0.245,0.276,0.177,0.032,0.226,1,0,0.000,0,1,0.000,0.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,21,17,0.810,6,18,0.333,0.389,0.095,0.048,0.333,67,47,0.701,17,62,0.274,0.371,0.254,17,27,1.588,9,15,0.600,0.900,0.118,0.000,0.529,49,40,0.816,14,41,0.341,0.415,0.082,0.082,0.367,2,4,2.000,2,2,1.000,1.000,0.000,0.000,1.000,1,0,0.000,0,1,0.000,0.000,0.000,0.000,130,101,0.777,38,101,0.376,0.441,0.292,13,34,0.382,0.34,40,33,0.825,12,37,0.324,0.300,Amherst College,Mammoths,Marlon Sears,10,14,4,6,24,1848,523,1349,158,519,210,335,0.388,0.304,0.627,0.446,0.186,0.38,Amherst College,Mammoths,Marlon Sears,10,14,4,6,281,1848,1414,271,872,216,113,98,343,377,523,1349,158,519,210,335
3,Christopher,"Mitchell, Jr.",3,AMH,Guard,Sophomore,Windsor (CT),United States of America,70,22,167,118,33,25,1,9,0,31,30,43,131,21,75,11,11,10,2,4,0.400,0.200,16,7,14,0.875,0.438,75,21,63,0.840,0.280,57,18,52,0.912,0.316,0.456,16,53,0.302,0.93,13,8,17,1.308,0.615,0.077,0,0,0,0.000,0.000,0.000,17,5,10,0.588,0.294,0.000,0,0,0,0.000,0.000,0.000,5,5,1.000,2,5,0.400,0.400,0.000,0.200,0.400,34,28,0.824,12,28,0.429,0.500,0.176,0.000,0.353,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,17,10,0.588,4,17,0.235,0.294,0.000,0.000,0.235,47,31,0.660,11,39,0.282,0.372,0.255,18,14,0.778,5,15,0.333,0.467,0.167,0.000,0.278,25,20,0.800,7,21,0.333,0.429,0.120,0.040,0.320,1,0,0.000,0,0,0.000,0.000,1.000,0.000,0.000,1,0,0.000,0,1,0.000,0.000,0.000,0.000,76,50,0.658,20,70,0.286,0.343,0.263,8,31,0.258,0.44,19,12,0.632,6,17,0.353,0.316,Amherst College,Mammoths,Marlon Sears,10,14,4,6,24,1848,523,1349,158,519,210,335,0.388,0.304,0.627,0.446,0.186,0.38,Amherst College,Mammoths,Marlon Sears,10,14,4,6,281,1848,1414,271,872,216,113,98,343,377,523,1349,158,519,210,335
4,Mohammed,Alausa,5,AMH,Guard,Junior,Chicago (IL),United States of America,76,12,82,58,7,31,4,4,3,15,20,19,54,8,22,12,24,3,1,2,0.667,0.333,1,0,0,0.000,0.000,22,8,24,1.091,0.364,19,7,21,1.105,0.368,0.553,7,19,0.368,1.00,28,10,20,0.714,0.357,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,5,4,0.800,1,2,0.500,0.500,0.000,0.600,0.600,12,9,0.750,4,8,0.500,0.500,0.250,0.083,0.417,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,4,0,0.000,0,3,0.000,0.000,0.250,0.000,0.000,33,28,0.848,10,27,0.370,0.463,0.364,3,5,1.667,2,3,0.667,0.833,0.000,0.000,0.667,11,10,0.909,2,6,0.333,0.500,0.182,0.273,0.364,3,1,0.333,0,2,0.000,0.000,0.000,0.333,0.333,3,1,0.333,0,1,0.000,0.333,0.333,0.333,50,38,0.760,15,45,0.333,0.411,0.300,7,24,0.292,0.53,10,12,1.200,4,8,0.500,0.400,Amherst College,Mammoths,Marlon Sears,10,14,4,6,24,1848,523,1349,158,519,210,335,0.388,0.304,0.627,0.446,0.186,0.38,Amherst College,Mammoths,Marlon Sears,10,14,4,6,281,1848,1414,271,872,216,113,98,343,377,523,1349,158,519,210,335
5,Drew,Martin,12,AMH,Forward,Freshman,West Roxbury (MA),United States of America,80,19,47,38,9,39,8,2,6,14,7,13,28,4,10,8,10,4,2,4,1.000,0.500,3,0,0,0.000,0.000,10,4,12,1.200,0.400,10,5,14,1.400,0.500,0.700,4,9,0.444,0.90,6,5,10,1.667,0.833,0.000,1,0,0,0.000,0.000,0.000,2,1,2,1.000,0.500,0.000,1,1,2,2.000,1.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,2,0,0.000,0,1,0.000,0.000,0.500,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,2,2,1.000,0,0,0.000,0.000,0.500,0.500,0.500,14,12,0.857,4,11,0.364,0.545,0.286,4,4,1.000,2,4,0.500,0.500,0.000,0.000,0.500,7,6,0.857,2,5,0.400,0.400,0.143,0.143,0.429,6,8,1.333,4,5,0.800,0.800,0.167,0.000,0.667,4,4,1.000,0,1,0.000,0.250,0.500,0.500,26,23,0.885,8,22,0.364,0.455,0.308,4,12,0.333,0.55,8,8,1.000,4,8,0.500,0.500,Amherst College,Mammoths,Marlon Sears,10,14,4,6,24,1848,523,1349,158,519,210,335,0.388,0.304,0.627,0.446,0.186,0.38,Amherst College,Mammoths,Marlon Sears,10,14,4,6,281,1848,1414,271,872,216,113,98,343,377,523,1349,158,519,210,335
6,Michael,Schretter,13,AMH,Center,Senior,Ridgewood (NJ),United States of America,79,14,67,55,12,36,15,1,0,14,15,24,49,0,0,7,10,0,0,0,0.000,0.000,1,0,0,0.000,0.000,0,0,0,0.000,0.000,1,0,0,0.000,0.000,0.000,0,0,0.000,0.00,33,20,41,1.242,0.606,0.061,12,4,8,0.667,0.333,0.000,2,0,0,0.000,0.000,0.000,1,1,2,2.000,1.000,0.000,1,0,0.000,0,0,0.000,0.000,1.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,19,16,0.842,8,15,0.533,0.211,0.053,0.421,1,2,2.000,1,1,1.000,1.000,0.000,0.000,1.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,6,2,0.333,0,5,0.000,0.000,0.167,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,8,10,1.250,4,7,0.571,0.571,0.000,0.125,0.625,17,16,0.941,7,13,0.538,0.538,0.176,0.118,0.471,10,7,0.700,3,7,0.429,0.200,0.100,0.400,16,12,0.750,4,14,0.286,0.393,0.250,3,9,0.333,0.64,29,29,1.000,12,25,0.480,0.414,Amherst College,Mammoths,Marlon Sears,10,14,4,6,24,1848,523,1349,158,519,210,335,0.388,0.304,0.627,0.446,0.186,0.38,Amherst College,Mammoths,Marlon Sears,10,14,4,6,281,1848,1414,271,872,216,113,98,343,377,523,1349,158,519,210,335
7,Christopher,Hammond,15,AMH,Forward,Freshman,Los Angeles (CA),United States of America,78,23,175,133,24,54,12,12,7,34,34,49,128,21,62,14,24,8,3,6,0.750,0.375,5,3,6,1.200,0.600,62,21,63,1.016,0.339,61,22,62,1.016,0.361,0.508,18,54,0.333,0.89,34,16,32,0.941,0.471,0.000,1,1,2,2.000,1.000,0.000,10,3,6,0.600,0.300,0.000,1,0,0,0.000,0.000,0.000,1,2,2.000,1,1,1.000,1.000,0.000,0.000,1.000,6,5,0.833,2,4,0.500,0.625,0.333,0.000,0.333,10,6,0.600,2,7,0.286,0.100,0.200,0.300,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,7,5,0.714,2,6,0.333,0.417,0.143,0.000,0.286,68,58,0.853,22,54,0.407,0.528,0.338,22,20,0.909,7,19,0.368,0.421,0.000,0.136,0.409,30,22,0.733,9,23,0.391,0.478,0.200,0.033,0.300,8,6,0.750,2,6,0.333,0.333,0.125,0.125,0.375,5,5,1.000,2,4,0.500,0.000,0.200,0.600,86,71,0.826,25,68,0.368,0.426,0.291,8,28,0.286,0.41,25,19,0.760,9,25,0.360,0.360,Amherst College,Mammoths,Marlon Sears,10,14,4,6,24,1848,523,1349,158,519,210,335,0.388,0.304,0.627,0.446,0.186,0.38,Amherst College,Mammoths,Marlon Sears,10,14,4,6,281,1848,1414,271,872,216,113,98,343,377,523,1349,158,519,210,335
8,Bobby,Sommers,20,AMH,Guard,Sophomore,Southborough (MA),United States of America,75,23,182,133,17,53,13,9,4,35,22,50,135,15,46,18,28,4,1,2,0.500,0.250,5,3,6,1.200,0.600,46,15,45,0.978,0.326,46,15,44,0.957,0.326,0.478,14,44,0.318,0.96,72,27,56,0.778,0.375,0.042,1,0,0,0.000,0.000,0.000,7,4,8,1.143,0.571,0.143,9,5,11,1.222,0.556,0.111,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,8,6,0.750,3,4,0.750,0.750,0.500,0.000,0.375,1,0,0.000,0,0,0.000,1.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,5,5,1.000,0,0,0.000,0.000,0.400,0.600,0.600,69,51,0.739,18,60,0.300,0.383,0.304,18,14,0.778,6,16,0.375,0.438,0.111,0.056,0.333,54,40,0.741,16,42,0.381,0.405,0.167,0.111,0.352,5,8,1.600,4,5,0.800,0.800,0.000,0.000,0.800,10,7,0.700,3,8,0.375,0.100,0.100,0.300,80,49,0.613,17,67,0.254,0.336,0.213,11,37,0.297,0.55,22,10,0.455,5,20,0.250,0.227,Amherst College,Mammoths,Marlon Sears,10,14,4,6,24,1848,523,1349,158,519,210,335,0.388,0.304,0.627,0.446,0.186,0.38,Amherst College,Mammoths,Marlon Sears,10,14,4,6,281,1848,1414,271,872,216,113,98,343,377,523,1349,158,519,210,335
9,Beluolisah,Oranye,21,AMH,Center,Senior,Baltimore (MD),United States of America,77,6,32,28,4,15,5,3,1,5,7,13,24,0,1,2,5,1,1,2,2.000,1.000,2,1,2,1.000,0.000,1,0,0,0.000,0.000,1,0,0,0.000,0.000,0.000,0,0,0.000,0.00,15,11,22,1.467,0.733,0.000,1,0,0,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,3,2,4,1.333,0.667,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,5,4,0.800,2,5,0.400,0.000,0.000,0.400,2,4,2.000,2,2,1.000,1.000,0.000,0.000,1.000,1,2,2.000,1,1,1.000,1.000,0.000,0.000,1.000,1,0,0.000,0,0,0.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,6,6,1.000,3,6,0.500,0.500,0.000,0.000,0.500,10,9,0.900,4,7,0.571,0.571,0.200,0.100,0.500,2,2,1.000,1,2,0.500,0.000,0.000,0.500,3,3,1.000,1,3,0.333,0.500,0.333,1,3,0.333,1.00,3,1,0.333,0,2,0.000,0.000,Amherst College,Mammoths,Marlon Sears,10,14,4,6,24,1848,523,1349,158,519,210,335,0.388,0.304,0.627,0.446,0.186,0.38,Amherst College,Mammoths,Marlon Sears,10,14,4,6,281,1848,1414,271,872,216,113,98,343,377,523,1349,158,519,210,335
10,Giovanni,Tam,22,AMH,Center,Freshman,Milan,Italy,82,21,77,64,15,40,7,3,2,17,34,29,53,0,0,6,17,0,0,0,0.000,0.000,3,1,2,0.667,0.333,0,0,0,0.000,0.000,3,1,2,0.667,0.333,0.333,0,0,0.000,0.00,31,20,40,1.290,0.645,0.065,17,8,17,1.000,0.471,0.059,2,0,0,0.000,0.000,0.000,3,0,0,0.000,0.000,0.000,2,0,0.000,0,0,0.000,0.000,1.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,32,29,0.906,14,24,0.583,0.219,0.063,0.469,5,0,0.000,0,3,0.000,0.000,0.200,0.200,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,5,2,0.400,1,4,0.250,0.250,0.200,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,6,9,1.500,4,4,1.000,1.000,0.000,0.333,0.833,17,19,1.118,8,14,0.571,0.571,0.059,0.235,0.588,5,5,1.000,2,4,0.500,0.000,0.200,0.600,30,26,0.867,10,23,0.435,0.500,0.333,3,8,0.375,0.35,41,45,1.098,21,34,0.618,0.512,Amherst College,Mammoths,Marlon Sears,10,14,4,6,24,1848,523,1349,158,519,210,335,0.388,0.304,0.627,0.446,0.186,0.38,Amherst College,Mammoths,Marlon Sears,10,14,4,6,281,1848,1414,271,872,216,113,98,343,377,523,1349,158,519,210,335
